time,UV flux,Optical flux
56684.779,0.9940856909130492,0.986796492782801
56685.7848,0.9782649292801566,0.9897094018434606
56686.77,0.9851583330140612,0.9965061896516665
56687.8837,0.9976870974426773,0.9854371352211597
56689.8415,0.9856520836772344,0.9702802984088608
56692.9497,0.9952066338259694,0.9795142201311517
56693.7886,0.9904814330848989,0.9692025220564167
56694.7692,1.0076949245791595,0.9722319474795027
56695.7086,1.008249799638485,0.981456159504925
56696.727,1.0076642188079306,0.9841748746282072
56696.985,1.008956847127016,0.9887384321565741
56697.7559,1.0044830955446735,0.9857284261272257
56698.7165,1.0120332759304471,0.9917484381859224
56699.7121,1.014941461240504,0.9897094018434606
56700.6907,1.0205258328618707,0.9950497351213365
56701.565,1.0026761530773614,0.9957294139021573
56701.8319,1.0065771085400004,0.9907774684990359
56702.6374,0.9946763328697191,1.0027203956477404
56703.0166,0.9995035235382342,0.9996132926497034
56703.8822,0.9910415519918376,1.0040797532093815
56704.8393,0.9738770231276651,1.0050507228962682
56705.6103,0.9950583292108849,1.0079636319569278
56705.9533,0.9820585970721565,1.0094200864872576
56706.9829,0.9800444268128341,1.0092258925498803
56708.0251,0.9735373178308443,1.011847510704474
56709.8292,0.9736333966130424,0.9969916744951098
56710.6609,0.973345960806446,0.9940787654344501
56711.0179,0.9720820894400534,0.9970887714637984
56711.6852,0.9588959247383471,0.9922339230293656
56711.9241,0.9524720707500587,0.992719407872809
56713.7215,0.9482053663630393,0.9805822867867271
56713.9203,0.9278917957780327,0.989321013968706
56714.7256,0.9015358944068456,0.9816503534423022
56715.9135,0.9185306951233196,0.9782519595381992
56716.665,0.8991877454627863,0.978057765600822
56717.7336,0.921411275036384,0.9688432632722686
56717.9554,0.9215041391924386,0.9740767898845871
56718.564,0.9112611290485051,0.9718435596047481
56718.6711,0.9121253178246057,0.9592015342814852
56719.6036,0.9073545229027763,0.9494529986251442
56720.6926,0.9220002800866361,0.943549502928874
56721.7143,0.9170457312868749,0.9323348030453343
56722.7383,0.9278054926578566,0.9152942850404755
56723.5717,0.9174840942256623,0.9222270086048453
