index,type,l,b,distance,metallicity
390,open,76.91,0.59,1173,NaN
391,open,207,-1.79,1174,NaN
392,open,320.35,-1.79,1174,NaN
393,open,29.09,-0.42,1174,NaN
394,open,209.75,1.82,1180,NaN
395,open,224.67,0.39,1180,NaN
396,open,266.26,18.64,1182,NaN
397,open,0.01,0.16,1182,NaN
398,open,225.08,-2.63,1184,NaN
399,open,282.61,2.08,1184,NaN
400,open,310.41,0.38,1184,NaN
401,open,265.69,1.77,1186,NaN
402,open,81.49,0.61,1186,NaN
403,open,273.72,-1.39,1187,NaN
404,open,225.8,-2.47,1188,NaN
405,open,348.51,-3.39,1188,NaN
406,open,321.13,2.47,1189,NaN
407,open,81.67,-0.02,1190,NaN
408,open,205.34,0.36,1191,NaN
409,open,3.65,1.79,1192,NaN
410,open,254.01,0.25,1194,NaN
411,open,7.67,-0.35,1194,NaN
412,open,211.83,-1.92,1195,NaN
413,open,297.38,3.1,1198,-0.71
415,open,161.7,-0.44,1200,NaN
416,open,174.52,1.08,1200,NaN
417,open,97.64,-8.35,1200,NaN
418,open,108.83,5.03,1200,NaN
419,open,111.46,0.1,1200,NaN
414,open,124.95,-1.23,1200,0.07
420,open,334.71,-0.85,1201,NaN
421,open,191.32,-0.74,1202,NaN
422,open,210.26,-1.86,1202,NaN
423,open,224.01,-9.67,1204,NaN
425,open,292.55,2.76,1208,NaN
424,open,310.22,0.12,1208,0.05
426,open,299.99,-4.83,1209,NaN
427,open,297.31,-0.89,1210,NaN
428,open,274.45,0.38,1211,NaN
429,open,309.15,-0.72,1211,NaN
430,open,2.36,-5.39,1211,NaN
431,open,178.73,-0.18,1213,NaN
432,open,6.15,-4.26,1213,NaN
433,open,235.29,-0.05,1215,NaN
434,open,358.37,2.16,1215,NaN
435,open,335.22,-1.44,1216,NaN
436,open,355.38,-3.74,1217,NaN
437,open,333.09,-1.19,1220,NaN
438,open,291.52,2.36,1221,NaN
439,open,292.4,-1.8,1224,0.01
440,open,187.21,-5.08,1226,NaN
441,open,79.22,12.01,1227,NaN
442,open,300.7,1.87,1229,NaN
443,open,92.3,-0.18,1230,NaN
444,open,233.73,11.11,1232,0.13
445,open,78.39,2.52,1238,NaN
446,open,83.55,0.67,1238,NaN
447,open,264.48,-0.29,1239,NaN
448,open,300.47,-5.74,1239,NaN
449,open,338.72,0.1,1239,NaN
450,open,76.12,1.08,1239,NaN
451,open,75.73,0.34,1239,NaN
452,open,102.49,5.15,1239,NaN
453,open,309.96,-5.62,1241,-0.23
454,open,190.96,2.28,1243,NaN
455,open,249.38,-5.25,1245,NaN
456,open,15.75,-3.57,1245,NaN
457,open,263.96,-0.34,1249,NaN
458,open,95.5,-7.26,1250,-0.12
459,open,165.88,-4.06,1250,NaN
460,open,167.11,-2.81,1250,NaN
461,open,284.18,3.86,1250,NaN
462,open,300.15,1.83,1250,NaN
463,open,300.84,1.23,1250,NaN
464,open,108.93,0.26,1250,NaN
465,open,295.91,-0.11,1251,NaN
466,open,113.97,1.99,1252,NaN
467,open,181.81,4.53,1254,NaN
468,open,20.29,-0.57,1257,NaN
469,open,333.06,0.03,1258,NaN
470,open,16.97,-1.03,1258,NaN
471,open,205.36,-1.65,1259,NaN
472,open,355.16,1.01,1259,NaN
473,open,168.25,-12.31,1263,NaN
474,open,237.13,-3.73,1263,NaN
475,open,355.06,-0.74,1266,-0.19
476,open,355.07,12.43,1266,NaN
477,open,283.66,-6.83,1268,-0.71
478,open,248.22,-3.93,1268,NaN
479,open,264.1,2.02,1268,NaN
480,open,307.57,-0.29,1270,NaN
481,open,28.2,-0.05,1273,NaN
482,open,12.73,-0.85,1277,NaN
483,open,256.93,-8.37,1278,NaN
484,open,306.41,0.75,1278,NaN
485,open,314.59,-1.47,1278,NaN
486,open,329.28,-1.5,1278,NaN
487,open,320.94,-2.73,1281,NaN
488,open,12.39,-3.22,1282,-1.54
489,open,282.05,-2.41,1282,NaN
490,open,282.98,0.43,1282,NaN
491,open,269.13,-0.19,1285,NaN
492,open,90.23,1.7,1285,NaN
493,open,280.17,0.17,1286,NaN
494,open,219.15,-10.55,1287,NaN
495,open,11.66,-1.73,1289,NaN
496,open,12.11,-1.3,1290,NaN
497,open,219.76,10.86,1292,NaN
498,open,85.25,-0.61,1293,NaN
499,open,267.5,-3.63,1294,NaN
500,open,194.26,2.47,1296,NaN
501,open,221.45,-2.55,1296,NaN
502,open,264.87,1.12,1296,NaN
503,open,225.89,-2.05,1297,NaN
504,open,293.24,0.6,1297,NaN
505,open,349.91,3.08,1297,NaN
506,open,79.08,0.96,1297,NaN
507,open,212.64,-2.5,1298,NaN
508,open,246.2,-10.56,1298,NaN
509,open,91.12,-2.86,1300,-0.01
510,open,162.26,1.61,1300,NaN
511,open,121.48,-1.73,1300,NaN
512,open,148.1,-1.31,1300,NaN
513,open,172.65,-0.31,1300,NaN
514,open,266.39,-1.92,1300,NaN
515,open,51.1,-1.43,1303,NaN
516,open,27.31,0.43,1304,NaN
517,open,295.65,3.69,1305,NaN
518,open,49.39,-1.33,1305,NaN
519,open,203.68,2.62,1306,NaN
520,open,301.89,-0.13,1308,NaN
521,open,262.14,0.8,1309,NaN
522,open,219.28,-3.13,1310,NaN
523,open,96.26,1.07,1310,NaN
524,open,310.84,-0.33,1312,NaN
525,open,88.75,-1.31,1313,NaN
526,open,47.15,-2.1,1317,NaN
527,open,187.42,-1.1,1318,NaN
528,open,15.03,-1.62,1318,NaN
529,open,79.56,6.84,1326,NaN
530,open,340.9,-1.08,1327,NaN
531,open,203.57,0.1,1329,0.25
532,open,312.61,1.68,1330,NaN
533,open,325.8,0.14,1330,NaN
534,open,273.75,-0.93,1332,NaN
535,open,309.46,-3.26,1332,NaN
536,open,90.07,7.67,1332,NaN
537,open,19.04,0.81,1335,NaN
538,open,118.6,6.09,1338,NaN
539,open,215.45,-6.26,1338,NaN
540,open,333.28,-0.05,1338,NaN
541,open,249.09,3.54,1339,0.05
542,open,305.08,-2.51,1340,NaN
543,open,351.19,1.38,1340,NaN
544,open,229.23,3.1,1341,NaN
545,open,262.83,-0.8,1342,NaN
546,open,24.12,-1.26,1342,NaN
547,open,241.63,2.02,1344,-0.08
548,open,315.64,2.21,1346,NaN
549,open,358.45,-1.9,1346,NaN
550,open,313.58,2,1349,NaN
551,open,130.36,-4.39,1350,NaN
552,open,143.95,3.6,1350,NaN
553,open,112.82,0.48,1350,NaN
554,open,45.68,-0.14,1355,NaN
555,open,281.74,-2.01,1358,NaN
556,open,177.62,-0.11,1359,NaN
557,open,289.51,-0.41,1359,NaN
558,open,125.34,-0.52,1363,NaN
559,open,236,5.38,1363,NaN
560,open,265.08,-2.57,1363,NaN
561,open,311.93,-4.11,1366,NaN
562,open,264.82,-1.51,1367,NaN
563,open,324.65,0.66,1369,NaN
564,open,266.17,22.24,1370,NaN
565,open,192.21,-13.56,1371,NaN
566,open,231.86,4.07,1375,-0.47
567,open,238.18,-5.55,1375,NaN
568,open,286.09,-1.67,1376,-0.22
569,open,266.95,-0.36,1379,NaN
570,open,75.35,-1.42,1379,NaN
571,open,192.87,1.54,1380,NaN
572,open,277.77,-3.69,1380,NaN
573,open,276.82,-1.2,1380,NaN
574,open,295.04,-0.7,1380,NaN
575,open,73.27,1.17,1380,NaN
576,open,28.17,0.43,1381,NaN
577,open,132.4,-6.16,1382,NaN
578,open,315.34,1.79,1388,NaN
579,open,290.9,15.65,1389,NaN
580,open,327.52,1.99,1390,NaN
581,open,130.87,1.07,1391,NaN
582,open,12.1,-1.4,1392,NaN
583,open,60.91,-0.1,1392,NaN
584,open,253.94,6.97,1393,NaN
585,open,228.42,1.03,1394,NaN
586,open,267.95,-1.32,1394,NaN
587,open,348.6,-13.3,1397,NaN
589,open,152.56,-1.61,1400,NaN
590,open,170.95,0.06,1400,NaN
591,open,242.48,-2.51,1400,NaN
592,open,348.04,-0.29,1400,NaN
593,open,73.89,3.59,1400,NaN
588,open,177.62,3.1,1400,0.09
594,open,307.21,-0.9,1404,NaN
595,open,4.82,-0.84,1405,NaN
596,open,233.06,2.71,1406,-0.15
597,open,234.57,-1.08,1409,NaN
598,open,135.78,-1.55,1410,NaN
599,open,223.6,-1.18,1411,-0.03
600,open,283.95,-3.85,1412,NaN
601,open,81.44,0.48,1413,NaN
602,open,290.11,0.42,1414,NaN
603,open,82.8,-4.51,1414,NaN
604,open,208.99,-0.08,1415,NaN
605,open,286.23,-2.57,1415,NaN
606,open,257.85,0.48,1418,NaN
607,open,290.99,-0.13,1422,NaN
608,open,345.78,-0.15,1422,NaN
609,open,28.04,0.18,1422,NaN
610,open,299.96,0.93,1423,NaN
611,open,329.52,3.28,1423,NaN
612,open,12.53,0.7,1423,NaN
613,open,93.56,0.65,1423,NaN
614,open,191.02,-0.77,1427,NaN
615,open,78.46,1.36,1427,NaN
616,open,213.3,0.31,1429,NaN
617,open,119.46,-0.94,1430,NaN
618,open,203.84,-0.16,1432,NaN
619,open,321.93,3.25,1434,NaN
620,open,77.62,0.38,1434,NaN
621,open,283.83,-3.69,1435,NaN
622,open,352.88,-2.5,1435,NaN
623,open,248.82,-3.04,1436,NaN
624,open,26.36,-0.78,1441,NaN
625,open,193.22,-1.03,1444,NaN
626,open,203.54,-6.19,1445,NaN
627,open,277.94,-3.28,1445,NaN
628,open,73.65,1.81,1445,NaN
629,open,103.75,2.13,1445,NaN
630,open,207.33,-0.76,1447,NaN
631,open,253.56,-5.84,1450,-0.19
632,open,110.52,-4.96,1450,NaN
633,open,38.25,1.77,1453,NaN
634,open,305.92,-2.24,1454,NaN
635,open,49.17,-0.98,1455,NaN
637,open,302.7,-18.39,1456,NaN
638,open,82.33,3.02,1456,NaN
636,open,232.05,2.68,1456,0.31
639,open,75.82,1.32,1457,NaN
640,open,269.21,-1.85,1458,NaN
641,open,314.79,0.6,1458,NaN
642,open,24.74,1.41,1460,NaN
643,open,52.53,-0.03,1462,NaN
644,open,276.84,2.77,1464,NaN
645,open,284.56,-0.33,1465,NaN
646,open,129.91,5.88,1466,NaN
647,open,207.42,-5.49,1467,NaN
648,open,238.36,5.91,1467,NaN
649,open,351.73,-1.65,1467,NaN
650,open,207.47,-8.26,1468,NaN
651,open,8.9,-0.26,1468,NaN
652,open,317,3.92,1469,NaN
653,open,167.26,2.56,1472,NaN
654,open,2.88,-2.85,1472,NaN
656,open,239.63,-16.52,1474,NaN
655,open,356.01,-0.3,1474,0.33
657,open,336.37,-0.5,1476,NaN
658,open,85.48,-4.44,1476,NaN
659,open,255.05,0.56,1477,NaN
660,open,325.61,1.89,1478,NaN
661,open,5.34,-0.98,1478,NaN
662,open,309.52,-2.88,1481,-0.13
663,open,276.13,-12.75,1481,NaN
664,open,40.35,-0.7,1481,NaN
665,open,287.99,-8.6,1483,-0.35
666,open,189.56,1.82,1485,NaN
667,open,302.63,-0.86,1489,NaN
668,open,233.09,3.23,1490,-0.1
669,open,185.87,-19.67,1490,NaN
670,open,202.23,-8.02,1490,NaN
671,open,208.55,-1.81,1490,NaN
672,open,317.53,2.1,1490,NaN
673,open,357.53,2.86,1490,NaN
674,open,6.47,-2.37,1490,NaN
675,open,239.93,-4.93,1499,-0.01
676,open,280.43,-1.64,1499,NaN
677,open,333.97,-13.82,1500,-0.32
678,open,137.19,0.89,1500,NaN
679,open,168.88,-2.03,1500,NaN
680,open,294.55,0.72,1500,NaN
681,open,63.26,6.68,1500,NaN
682,open,94.25,-0.78,1500,NaN
683,open,99.48,-0.31,1500,NaN
684,open,104.89,5.36,1500,NaN
685,open,104.69,-0.59,1500,NaN
686,open,320.51,-1.2,1501,NaN
687,open,186.17,-13.09,1504,-0.14
688,open,194.61,-3.49,1508,NaN
689,open,249.29,-4.7,1508,NaN
690,open,219.82,15.87,1508,NaN
691,open,299.35,3.01,1509,NaN
692,open,335.46,-6.24,1511,0.43
693,open,252.63,15.09,1513,NaN
694,open,287.67,-10.14,1513,NaN
695,open,293.4,0.7,1513,NaN
696,open,309.06,2.09,1513,NaN
697,open,315.75,-5.25,1513,NaN
698,open,333.03,5.86,1513,NaN
699,open,84.27,-3.88,1513,NaN
700,open,104.92,13.79,1513,NaN
701,open,8.67,-0.35,1515,NaN
702,open,29.49,-1,1516,NaN
703,open,123.04,1.79,1517,NaN
704,open,155.91,7.7,1522,NaN
705,open,166.36,3.54,1523,NaN
706,open,245.75,3.58,1523,NaN
707,open,359.6,-0.66,1526,NaN
708,open,77.22,4.97,1532,NaN
709,open,320.76,6.43,1535,NaN
710,open,320.32,-0.17,1535,NaN
711,open,96.3,2.57,1535,NaN
712,open,188.85,4.43,1536,NaN
713,open,113.91,0.44,1536,NaN
714,open,296.78,-0.48,1537,-0.59
715,open,228.27,-0.79,1537,NaN
716,open,308.11,-0.91,1537,NaN
717,open,294.51,-1.07,1538,NaN
718,open,62,-0.69,1540,NaN
719,open,216.19,3,1544,NaN
720,open,285.31,-8.81,1546,NaN
721,open,76.16,-0.29,1547,NaN
722,open,146.06,-2.83,1550,NaN
723,open,19.75,-0.55,1550,NaN
724,open,87.99,-1.66,1550,NaN
725,open,179.21,11.88,1551,NaN
726,open,211.77,-3.73,1551,NaN
727,open,324.38,1.72,1555,NaN
728,open,238.52,1.39,1558,NaN
729,open,229.8,-1.43,1560,-0.03
730,open,203.8,0.45,1560,NaN
731,open,294.88,0.76,1560,NaN
732,open,315.66,0.29,1560,NaN
733,open,291.66,-17.87,1561,NaN
734,open,298.72,-15.6,1561,NaN
735,open,256.32,-5.43,1562,NaN
736,open,320.82,-2.04,1562,NaN
737,open,21.62,-0.76,1564,NaN
738,open,347.37,-0.35,1569,NaN
739,open,25.44,1.36,1569,NaN
740,open,237.7,-5.47,1571,NaN
741,open,290.49,1.6,1577,NaN
742,open,309.92,2.93,1577,NaN
743,open,249.28,-4.85,1579,NaN
744,open,348.9,2.62,1579,NaN
745,open,72.76,1.75,1580,NaN
746,open,215.42,-12.82,1581,NaN
747,open,205.91,-0.39,1581,NaN
748,open,58.83,-4.65,1582,NaN
749,open,75.7,13.54,1584,NaN
750,open,84.08,-4.98,1584,NaN
751,open,207.89,0.28,1585,NaN
752,open,235.48,1.77,1589,NaN
753,open,76.9,2.07,1589,NaN
754,open,274.89,1.6,1594,NaN
755,open,36.32,18.36,1596,NaN
756,open,86.18,-5.28,1599,NaN
757,open,118.16,0.22,1600,NaN
758,open,119.75,0.01,1600,NaN
759,open,121,8.64,1600,NaN
760,open,124.27,-0.06,1600,NaN
761,open,136.13,2.11,1600,NaN
762,open,172.61,0.3,1600,NaN
763,open,177.06,-0.43,1600,NaN
764,open,89.96,-2.74,1600,NaN
765,open,94.41,0.23,1600,NaN
766,open,104.42,0.31,1600,NaN
767,open,111.79,-5.32,1600,NaN
768,open,283.33,-2.69,1602,NaN
769,open,308.73,-0.87,1602,NaN
770,open,27.33,-1.94,1604,NaN
771,open,56.28,-4.68,1604,NaN
772,open,245.63,-3.92,1606,NaN
773,open,269.78,15.63,1606,NaN
774,open,235.65,-2.29,1607,NaN
775,open,249.22,-4.34,1608,NaN
776,open,329.38,2.9,1608,NaN
777,open,243.04,-5.43,1609,NaN
778,open,237.98,-1.67,1609,NaN
779,open,249.34,-0.15,1609,NaN
780,open,298.6,-0.17,1609,NaN
781,open,221.91,-2.58,1614,NaN
782,open,314.63,-0.57,1614,NaN
783,open,18.45,-0.41,1614,NaN
786,open,196.56,0.38,1619,NaN
784,open,340.64,2.14,1619,0.12
785,open,290.44,-1.12,1619,0.15
787,open,342.12,-3.74,1620,NaN
788,open,270.73,-3.04,1621,NaN
789,open,334.5,-1.18,1623,NaN
790,open,17.18,1.37,1623,NaN
791,open,213.89,-12.09,1627,NaN
792,open,326.01,-1.92,1629,NaN
793,open,265.34,-17.18,1631,NaN
794,open,128.18,-0.96,1632,NaN
795,open,192.34,-13.16,1633,NaN
796,open,191.01,-0.64,1633,NaN
797,open,341.13,0.28,1633,NaN
798,open,111.89,-4.16,1633,NaN
799,open,225.47,-5.52,1634,NaN
800,open,224.22,0.3,1634,NaN
801,open,254.97,0.31,1634,NaN
802,open,294.84,0.65,1634,NaN
803,open,295.83,0.78,1634,NaN
804,open,308.96,-0.64,1634,NaN
805,open,292.38,3.61,1639,NaN
806,open,244.8,0.24,1649,NaN
807,open,247.63,-0.53,1649,NaN
808,open,20.74,-1.26,1649,NaN
809,open,125.89,-2.62,1650,NaN
810,open,186.58,0.14,1651,NaN
811,open,76.63,1.3,1653,NaN
812,open,235.26,-2.46,1655,NaN
813,open,211.82,-17.36,1656,NaN
814,open,80.26,-2.11,1656,NaN
815,open,7,-2.97,1657,NaN
816,open,35.14,1.76,1657,NaN
817,open,181.38,-3.43,1658,NaN
818,open,119.76,1.69,1659,NaN
819,open,194.42,-1.02,1659,NaN
820,open,238.21,-3.35,1659,NaN
821,open,214.9,16.4,1659,NaN
822,open,265.52,-3.38,1659,NaN
823,open,214.37,31.35,1659,NaN
824,open,297.57,1.16,1659,NaN
825,open,300.07,2.64,1659,NaN
826,open,291.2,-0.16,1660,NaN
827,open,212.68,-13.93,1661,NaN
828,open,305.51,-0.66,1662,NaN
829,open,190.07,0.8,1664,NaN
830,open,186.33,13.82,1664,NaN
831,open,291.11,-0.19,1664,NaN
832,open,264.79,-2.91,1668,NaN
833,open,2.21,-0.63,1668,NaN
834,open,24.71,0.32,1668,NaN
835,open,60.16,-0.26,1668,NaN
836,open,71.86,2.42,1668,NaN
837,open,219.88,1.01,1671,NaN
838,open,280.73,0.1,1671,NaN
839,open,249.8,2.96,1678,-0.08
840,open,269.73,0.98,1678,NaN
841,open,96.16,-1.58,1680,NaN
842,open,120.29,-2.56,1685,NaN
843,open,188.66,-8.22,1685,NaN
844,open,237.94,-14.97,1685,NaN
845,open,279.19,-1.59,1685,NaN
846,open,294.12,-0.03,1685,NaN
847,open,81.52,-8.78,1685,NaN
848,open,294.94,-0.64,1687,NaN
849,open,66.42,-0.37,1689,NaN
850,open,347.49,1.74,1695,NaN
851,open,290.26,1.34,1697,NaN
852,open,0.69,-2.05,1698,NaN
853,open,120.11,-4.83,1700,NaN
854,open,134.72,0.92,1700,NaN
855,open,290.14,-0.76,1700,NaN
856,open,0.55,-0.54,1700,NaN
857,open,93.03,1.8,1700,NaN
858,open,233.8,-2.08,1701,NaN
859,open,286.4,1.96,1702,NaN
860,open,240.97,-30.89,1703,NaN
861,open,269.72,15.06,1703,NaN
862,open,334.55,1.08,1704,NaN
863,open,157.23,-8.47,1705,NaN
864,open,172.26,-5.65,1705,NaN
865,open,221.91,-2.39,1706,NaN
866,open,231.15,1.53,1706,NaN
867,open,228.9,2.96,1706,NaN
868,open,275.7,-1.9,1706,NaN
869,open,233.43,-0.33,1708,NaN
870,open,23.93,-0.44,1708,NaN
871,open,195.12,-15.33,1710,NaN
872,open,207.67,-3.79,1710,NaN
873,open,340.05,-0.22,1710,NaN
874,open,95.59,2.04,1710,NaN
875,open,157.9,5.13,1711,NaN
876,open,238.34,2.33,1711,NaN
877,open,237.83,5.84,1711,NaN
878,open,311.51,2.41,1711,NaN
879,open,226.01,-4.44,1713,NaN
880,open,264.17,-1.66,1713,NaN
881,open,193.33,-1.13,1721,NaN
882,open,228.53,-3.28,1721,NaN
883,open,63.19,-2.76,1721,NaN
884,open,346.79,-1.51,1723,NaN
885,open,106.95,0.11,1726,NaN
886,open,307.72,1.57,1727,NaN
887,open,81.3,1.1,1728,NaN
888,open,115.67,-1.19,1732,NaN
889,open,196.69,-0.6,1734,NaN
890,open,14.09,-9.65,1735,NaN
891,open,219.5,-1.74,1737,NaN
892,open,251.05,-2.12,1743,NaN
893,open,244.71,2.26,1748,NaN
894,open,23.87,-2.9,1748,NaN
896,open,176.51,-0.11,1750,NaN
897,open,185.97,-4.11,1750,NaN
898,open,337.94,-1.44,1750,NaN
899,open,101.27,-2.21,1750,NaN
895,open,27.28,-2.75,1750,0.14
900,open,277.9,-0.9,1751,NaN
901,open,288.84,0.69,1751,NaN
903,open,212.92,1.92,1753,NaN
904,open,324.79,-1.19,1753,NaN
902,open,9.28,-2.53,1753,0.37
905,open,75.34,-0.5,1757,NaN
906,open,86.15,-1.7,1758,NaN
907,open,268.7,16.26,1759,NaN
908,open,75.68,0.99,1760,NaN
909,open,27.24,-0.4,1762,NaN
910,open,8.05,0.43,1763,NaN
911,open,37.16,2.63,1763,NaN
912,open,246.33,4.39,1764,NaN
913,open,308.28,-0.09,1764,NaN
914,open,59.4,-0.14,1764,NaN
915,open,75.36,1.3,1764,NaN
916,open,314.67,-0.1,1769,NaN
917,open,330.37,0.33,1771,NaN
918,open,235.59,-3.81,1772,NaN
919,open,279.49,0.15,1772,NaN
920,open,205.61,-4.16,1775,NaN
921,open,203.66,1.65,1775,NaN
922,open,213.22,8.43,1775,NaN
923,open,275.15,-1.14,1775,NaN
924,open,11.74,0.66,1775,NaN
925,open,55.33,0.92,1775,NaN
926,open,293.75,-1.71,1777,NaN
927,open,337.89,-1.24,1777,NaN
928,open,274.69,1.76,1778,-0.07
929,open,227.35,-2.9,1780,NaN
930,open,129.07,-0.35,1786,NaN
931,open,197.03,0.98,1786,NaN
932,open,191.07,6.27,1786,NaN
933,open,241.65,-10.32,1786,NaN
934,open,280.52,-5.28,1786,NaN
935,open,240.01,-9.64,1789,NaN
936,open,286.23,-0.31,1789,NaN
937,open,340.37,1.88,1790,NaN
938,open,81.75,0.72,1790,NaN
939,open,32.17,-1.19,1791,NaN
940,open,207.49,-3.15,1791,NaN
941,open,217.32,-1.37,1791,NaN
942,open,238.22,-8.13,1791,NaN
943,open,291.25,2.6,1791,NaN
944,open,308.01,2.01,1791,NaN
945,open,314.63,-4.47,1791,NaN
946,open,72.64,2.05,1791,NaN
947,open,76.67,-4.01,1791,NaN
948,open,292.49,13.42,1792,NaN
949,open,329.74,-2.2,1793,0.14
950,open,48.86,-0.93,1796,NaN
951,open,231.79,-0.59,1797,NaN
952,open,235.94,-2.52,1797,NaN
953,open,307.52,-2.06,1797,NaN
954,open,127.29,-9.97,1799,NaN
955,open,114.56,-2.5,1800,-0.38
956,open,115.53,-5.37,1800,-0.24
957,open,175.65,-3.66,1800,-0.1
958,open,95.9,12.3,1800,NaN
960,open,162.09,-2.4,1800,NaN
961,open,96.62,-2.02,1800,NaN
962,open,105.47,1.21,1800,NaN
963,open,106.64,0.38,1800,NaN
964,open,110.7,2.67,1800,NaN
965,open,115.79,-1.59,1800,NaN
959,open,146.98,-3.71,1800,0.07
966,open,133.99,-1.26,1801,NaN
967,open,113.02,-1.06,1801,NaN
968,open,325.79,-3,1802,NaN
969,open,355.12,0.2,1802,NaN
970,open,19.88,-1.35,1802,NaN
971,open,88.56,-3.55,1802,NaN
972,open,73.19,1,1803,NaN
973,open,267.47,0.65,1808,NaN
974,open,192.87,-2.28,1810,NaN
975,open,256.96,4.06,1811,NaN
976,open,305.54,-4.34,1811,NaN
977,open,79.57,1.89,1813,NaN
978,open,77.99,-3.39,1817,NaN
979,open,349.14,-1.75,1818,NaN
980,open,79.32,1.3,1818,NaN
981,open,81.89,0.8,1818,NaN
983,open,174.65,3.69,1819,NaN
984,open,279.84,-1.72,1819,NaN
985,open,279.61,0.39,1819,NaN
986,open,264.8,22.28,1819,NaN
987,open,315.17,-3.25,1819,NaN
988,open,87.93,-15.83,1819,NaN
989,open,101.99,-0.57,1819,NaN
982,open,307.52,3.53,1819,0.12
990,open,344.95,0.46,1820,NaN
991,open,242.58,-0.33,1821,NaN
992,open,114.3,-2.65,1821,NaN
993,open,220.42,9.85,1824,NaN
994,open,295.44,-7.09,1825,NaN
995,open,300.65,-3.79,1828,NaN
996,open,0.02,-1.86,1828,NaN
997,open,264.17,0.19,1829,NaN
998,open,8.3,-1.04,1830,NaN
999,open,250.65,8.91,1831,NaN
1000,open,241.33,-15.25,1833,NaN
1001,open,232.15,6.17,1833,NaN
1002,open,248.21,0.14,1834,NaN
1003,open,133.85,1.15,1835,NaN
1004,open,183.52,-2.29,1836,NaN
1005,open,235.86,-0.45,1836,NaN
1006,open,123.61,-0.74,1841,NaN
1007,open,347.9,-0.68,1841,NaN
1008,open,60.13,-1.8,1841,NaN
1009,open,342.71,1.21,1844,NaN
1010,open,237.82,-6.85,1847,NaN
1011,open,273.7,0.38,1847,NaN
1012,open,310.26,2.09,1847,NaN
1013,open,22.92,-3.42,1848,NaN
1014,open,118.97,-3.3,1850,NaN
1015,open,176.56,-3.05,1850,NaN
1016,open,112.84,-2.87,1850,NaN
1017,open,341.98,-1.55,1855,0.02
1018,open,300.26,-1.32,1859,NaN
1019,open,120.67,0.56,1861,NaN
1020,open,202.4,-5.15,1861,NaN
1021,open,182.06,0.41,1863,NaN
1022,open,281,-0.26,1863,NaN
1023,open,79.87,1.18,1863,NaN
1024,open,221.17,1.18,1864,NaN
1025,open,274.8,-1.97,1864,NaN
1026,open,311.21,2.23,1864,NaN
1027,open,240.77,3.65,1865,NaN
1028,open,96.48,-2.12,1867,NaN
1029,open,306.2,-3.49,1870,NaN
1030,open,242.42,-5.78,1871,NaN
1031,open,290.43,-9.84,1871,NaN
1032,open,335.71,-3.44,1872,NaN
1033,open,305.34,0.07,1873,NaN
1034,open,194.75,-3.26,1875,NaN
1035,open,9.41,-13.34,1875,NaN
1036,open,287.68,-3.04,1876,NaN
1037,open,182.56,-0.73,1881,NaN
1038,open,218.15,-0.63,1881,NaN
1039,open,203.84,-7.03,1882,NaN
1040,open,275.31,-1.18,1882,NaN
1042,open,252.32,-3.35,1884,NaN
1041,open,294.37,6.19,1884,0.02
1043,open,188.07,-9.82,1887,NaN
1044,open,89.07,2.59,1887,NaN
1045,open,235.31,7,1888,NaN
1046,open,82.57,0.4,1891,NaN
1047,open,218.5,-14.72,1892,NaN
1048,open,226.34,-19.17,1893,NaN
1049,open,188.8,2.37,1893,NaN
1050,open,242.66,-6.8,1893,NaN
1051,open,327.93,-0.79,1893,NaN
1052,open,18.24,1.71,1895,NaN
1053,open,233.05,-1.84,1899,NaN
1054,open,136.3,-2.63,1900,NaN
1055,open,135.42,-0.5,1900,NaN
1056,open,134.51,2.06,1900,NaN
1057,open,137.29,5.35,1900,NaN
1058,open,176.17,6.01,1900,NaN
1059,open,98.06,-12.81,1900,NaN
1060,open,264.71,0.28,1904,NaN
1061,open,64.86,-4.93,1904,NaN
1062,open,116.18,-10.59,1905,NaN
1063,open,207.23,3.64,1905,NaN
1064,open,222.46,-1.7,1905,NaN
1065,open,219.38,6.14,1905,NaN
1066,open,235.59,-1.57,1905,NaN
1067,open,244.94,1.08,1905,NaN
1068,open,129.82,-18.23,1907,NaN
1069,open,118.46,-10.75,1908,NaN
1070,open,200.17,1.1,1916,NaN
1071,open,19.61,-1.03,1916,NaN
1072,open,75.52,1.5,1916,NaN
1073,open,203.8,-6.29,1917,NaN
1074,open,219.47,-10.56,1918,NaN
1075,open,173.09,0.05,1919,NaN
1076,open,290.79,0.1,1920,NaN
1077,open,296.32,-0.48,1920,NaN
1078,open,213.88,-4.35,1922,NaN
1079,open,214.43,2.74,1923,NaN
1080,open,236.55,-14.37,1925,NaN
1081,open,219.83,0.01,1925,NaN
1082,open,226.61,-2.55,1928,NaN
1083,open,283.12,-1.45,1928,NaN
1084,open,72.1,-0.51,1928,NaN
1085,open,27.87,0.28,1930,NaN
1086,open,200.78,0.62,1933,NaN
1087,open,126.82,0.37,1934,NaN
1088,open,130.22,-6.3,1934,NaN
1089,open,197.8,-2.31,1934,NaN
1090,open,96.11,1.57,1934,NaN
1091,open,237.93,-5.1,1935,NaN
1092,open,226.13,7.79,1935,NaN
1093,open,290.54,-0.81,1939,NaN
1094,open,282.97,-3.08,1940,NaN
1095,open,242.7,5.56,1941,NaN
1096,open,99.78,-2.24,1942,NaN
1097,open,217.35,-0.07,1943,NaN
