index,type,l,b,distance,metallicity
2279,open,291.84,-0.67,7511,NaN
2280,open,77.69,-8.48,7514,NaN
2281,open,1.41,-1.15,7575,NaN
2282,globular,325.55,-17.56,7600,-0.99
2283,open,214.37,-6.46,7655,-0.38
2284,open,343.48,-0.04,7693,NaN
2285,globular,326.6,4.87,7699,-0.49
2286,globular,1.02,-3.92,7702,-1.15
2287,open,303.71,-8.54,7702,NaN
2288,open,115.96,0.27,7722,NaN
2289,globular,20.79,6.78,7801,-0.63
2290,globular,0.97,8.01,7806,-1.15
2291,open,349.11,-0.44,7813,NaN
2292,open,66.08,-0.94,7837,NaN
2293,open,215.25,-9.4,7881,-0.22
2294,globular,5.54,10.71,7892,-1.65
2295,globular,1.13,-4.17,7892,-0.11
2296,globular,36.2,-2.2,7902,-1.6
2297,globular,2.78,-7.91,7905,-0.44
2298,open,347.56,0.21,7908,NaN
2299,open,13.19,0.06,7959,NaN
2300,open,101.44,-1.83,8001,NaN
2301,globular,9.81,-6.43,8089,-0.95
2302,globular,292.27,-19.02,8104,-0.75
2303,globular,27.17,-46.84,8109,-1.95
2304,globular,357.43,2.13,8197,-0.95
2305,globular,350.8,-3.42,8201,-0.7
2306,globular,345.07,9.19,8205,-0.74
2307,globular,353.51,-2.28,8208,-1.05
2308,globular,68.34,34.86,8292,-2.05
2309,globular,351.91,12.1,8308,-1.15
2310,open,203.48,-17.38,8399,-0.61
2311,open,68.53,0.46,8486,NaN
2312,globular,7.72,3.81,8492,-0.36
2313,globular,4.89,9.73,8502,-0.55
2314,open,235.03,-1.55,8570,NaN
2315,globular,301.53,-46.25,8603,-1.25
2316,globular,22.28,9.33,8677,-0.5
2317,open,96.76,1.07,8700,NaN
2318,globular,0.07,-17.29,8703,-1.05
2319,globular,328.77,-2.79,8785,-1.01
2320,globular,356.86,9.39,8794,-1.74
2321,globular,1.72,-10.26,8800,-0.64
2322,globular,339.19,-1.85,8831,-0.6
2323,open,265.43,1.96,8835,NaN
2324,open,192.16,-3.83,8885,NaN
2325,globular,351.92,15.71,8903,-1.25
2326,globular,151.38,-89.39,8912,-1.15
2327,open,354.7,-5.2,8923,0
2328,open,91.3,1.48,8999,0
2329,globular,2.85,-12.5,9001,-1.45
2330,globular,359.58,5.44,9201,-1.15
2331,globular,21.32,14.81,9298,-1.15
2332,globular,0.13,11.03,9400,-1.65
2333,globular,62.66,8.34,9403,-1.98
2334,globular,7.89,-7.15,9410,-0.75
2335,open,90.01,0.28,9471,0
2336,globular,357.62,7.84,9474,-1.99
2337,open,287.1,-6.65,9548,0
2338,globular,282.19,-11.25,9612,-1.05
2339,open,279.18,-2.61,9763,0
2340,globular,345.55,-6.73,9889,-0.55
2341,globular,1.53,-11.37,9999,-0.84
2342,globular,352.67,19.47,10011,-1.45
2343,globular,342.36,6.95,10110,-1.55
2344,globular,42.23,78.71,10194,-1.35
2345,open,277.1,-0.12,10270,0
2346,globular,299.62,36.05,10296,-1.75
2347,globular,347.79,3.31,10296,-1.02
2348,open,117.79,-1.99,10300,0
2349,open,279.91,0.28,10301,0
2350,open,250.96,-2.85,10380,0
2351,globular,65.01,-27.31,10392,-2.05
2352,globular,357.17,5.77,10403,-0.45
2353,globular,337.02,13.27,10517,-1.35
2354,globular,327.58,4.2,10596,-1.29
2355,globular,3.45,3.99,10598,-1.02
2356,globular,19.22,6.77,10600,-1.23
2357,open,197.94,7.97,10797,-0.31
2358,globular,245.63,-16.01,10815,-1.55
2359,globular,350.18,-3.41,10897,-0.75
2360,globular,0.48,-6.67,10900,-0.76
2361,globular,348.02,-10.01,11307,-0.46
2362,open,226.61,-9.65,11400,-0.2
2363,globular,358.91,13.53,11495,-1.15
2364,globular,53.36,-35.77,11507,-1.55
2365,globular,353.53,-5,11610,-0.46
